ID,Formula,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,Li,Na,K,Mg,M,X,T,Z,Voltage,Capacity,Charge,In-plane_lattice,Intercalated_lattice
1,Sc2C,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Sc,C,NONE,Li,0.29,462,0.805,3.312,3.331
2,Sc2N,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Sc,N,NONE,Li,0.35,454,0.792,3.19,3.217
3,Sc2CH2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,Sc,C,H2,Li,-0.3,454,0.818,3.28,3.281
4,Sc2NH2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,Sc,N,H2,Li,-0.29,447,0.812,3.185,3.196
5,Ti2C,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ti,C,NONE,Li,0.44,440,0.769,3.082,3.115
6,Ti2N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Ti,N,NONE,Li,0.51,433,0.761,2.988,3.028
7,Ti2CH2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,Ti,C,H2,Li,-0.11,433,0.778,3.037,3.068
8,Ti2NH2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,Ti,N,H2,Li,-0.03,426,0.769,2.988,3.014
9,V2C,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,V,C,NONE,Li,0.47,419,0.75,2.897,2.97
10,V2N,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,V,N,NONE,Li,0.47,413,0.746,2.92,2.926
11,V2CH2,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,V,C,H2,Li,0.2,413,0.74,2.877,2.941
12,Cr2C,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Cr,C,NONE,Li,0.55,412,0.739,2.828,2.966
13,V2NH2,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,V,N,H2,Li,0.22,406,0.729,2.756,2.91
14,Cr2N,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Cr,N,NONE,Li,0.61,406,0.743,2.675,2.946
15,Cr2CH2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,Cr,C,H2,Li,0.35,406,0.708,2.872,2.87
16,Cr2NH2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,Cr,N,H2,Li,0.25,400,0.702,2.867,2.839
17,Sc2CO2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,Sc,C,O2,Li,1.89,362,0.662,3.214,3.203
18,Sc2NO2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,Sc,N,O2,Li,1.76,357,0.704,3.238,3.115
19,Sc2COH,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,Sc,C,OH,Li,-0.43,357,0.837,3.287,3.263
20,Sc2NOH,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,Sc,N,OH,Li,-0.29,353,0.822,3.207,3.201
21,Ti2CO2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,Ti,C,O2,Li,1.22,349,0.647,3.032,3.018
22,Sc2CF2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,Sc,C,F,Li,-0.51,348,0.845,3.263,3.248
23,Ti2NO2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,Ti,N,O2,Li,1.08,344,0.667,3.003,3.001
